Year,WHO region,Country,Alcohol type,Numeric
1987,Western Pacific,Japan,Wine,0.11
1985,Africa,Chad,Spirits,0.01
1993,Africa,Ghana,Other alcoholic beverages,1.45
1987,Africa,Liberia,Other alcoholic beverages,
1984,Africa,Burkina Faso,Beer,0.32
1986,Europe,Israel,Spirits,0.72
1984,Africa,Central African Republic,Spirits,0.02
1993,Europe,Iceland,Beer,1.47
1997,Americas,Mexico,Spirits,1.08
1989,Americas,Antigua and Barbuda,Other alcoholic beverages,0
1988,Eastern Mediterranean,Somalia,Other alcoholic beverages,0
1993,Africa,Liberia,Wine,0.01
1987,Africa,Equatorial Guinea,Beer,0.33
1998,Americas,Cuba,Spirits,2.54
1993,Eastern Mediterranean,Oman,Beer,0.3
1984,South-East Asia,Nepal,All types,0.02
1995,Africa,Senegal,Beer,0.26
1998,Europe,Republic of Moldova,Spirits,14.44
1986,Africa,Rwanda,Wine,0.01
1988,Americas,El Salvador,Wine,0.02
1999,Europe,Belarus,All types,12.72
1984,Africa,Eritrea,Beer,0.16
1999,Americas,Haiti,Other alcoholic beverages,0
1987,Eastern Mediterranean,United Arab Emirates,Spirits,4.54
1994,Africa,Senegal,Other alcoholic beverages,0
1994,Western Pacific,Marshall Islands,Wine,
1980,Eastern Mediterranean,Djibouti,Spirits,0.89
1991,Eastern Mediterranean,Jordan,Spirits,0.01
1995,Americas,Suriname,Other alcoholic beverages,0
1997,Eastern Mediterranean,Kuwait,Spirits,0
1994,Europe,Romania,Wine,3.27
1997,Europe,Ukraine,Spirits,2.81
1997,Western Pacific,Kiribati,Beer,0.53
1982,Europe,Hungary,Beer,5.76
1996,Africa,Cabo Verde,All types,4.16
1980,Eastern Mediterranean,Afghanistan,All types,0
1992,Europe,Slovenia,Wine,7.86
1992,Africa,Gambia,Wine,0.05
1988,Europe,Spain,Spirits,3.54
1982,Africa,Mozambique,All types,0.35
1989,Africa,Madagascar,All types,1.38
1984,Americas,Saint Kitts and Nevis,Beer,0.96
1984,Africa,Burundi,Beer,2.6
1995,Western Pacific,Solomon Islands,Other alcoholic beverages,0
1981,Africa,Burundi,Beer,2.85
1988,Africa,United Republic of Tanzania,Beer,0.19
1998,Europe,Uzbekistan,Spirits,1.01
1990,Africa,Cameroon,Wine,0.11
1995,Eastern Mediterranean,Sudan,Spirits,0.28
1993,Eastern Mediterranean,Libya,Wine,0
1987,South-East Asia,Indonesia,Spirits,0.03
1996,Africa,Malawi,All types,1.6
1990,Eastern Mediterranean,Iran (Islamic Republic of),Spirits,0
1999,Eastern Mediterranean,Qatar,Beer,0.13
1980,Americas,Cuba,All types,3.01
1989,Western Pacific,Kiribati,Other alcoholic beverages,0
1981,Europe,Latvia,All types,12.79
1995,Africa,Gambia,Beer,0.01
1998,Americas,Honduras,Wine,0.02
1983,Africa,Angola,All types,1.75
1980,Europe,Cyprus,Other alcoholic beverages,0
1999,Europe,Lithuania,Spirits,2.16
1996,Africa,Zambia,Wine,0.01
1996,Eastern Mediterranean,Pakistan,Spirits,0
1992,South-East Asia,Nepal,Beer,0.05
1988,Western Pacific,New Zealand,Other alcoholic beverages,0.02
1986,Americas,Uruguay,All types,7.23
1990,Europe,Hungary,All types,16.15
1989,Americas,Bolivia (Plurinational State of),Beer,1.26
1990,Europe,Armenia,Spirits,1
1999,Western Pacific,Australia,Spirits,1.88
1994,Africa,Madagascar,Spirits,1.01
1980,Western Pacific,Japan,Beer,2.3
1982,Africa,Chad,Beer,0.31
1983,Africa,Mozambique,All types,0.37
1991,Europe,Romania,Spirits,2.89
1997,Africa,Cabo Verde,Beer,1.31
1980,Eastern Mediterranean,Libya,Beer,0
1993,Europe,France,Other alcoholic beverages,0.26
1996,Europe,Armenia,Beer,0.07
1981,Africa,Burundi,Other alcoholic beverages,5.56
1983,Europe,Germany,Wine,3.84
1997,Africa,Zambia,Wine,0.01
1986,Americas,Colombia,Beer,4.27
1987,Europe,Israel,Other alcoholic beverages,0
1997,Americas,Bahamas,Spirits,8.32
1992,Americas,Bolivia (Plurinational State of),Wine,0.06
1991,South-East Asia,Bangladesh,Wine,0
1998,Eastern Mediterranean,Afghanistan,Beer,0
1998,Africa,Democratic Republic of the Congo,All types,1.89
1997,Africa,Gambia,Beer,0.05
1981,Africa,Mauritania,Other alcoholic beverages,0
1988,Europe,Denmark,Other alcoholic beverages,
1986,Africa,Ethiopia,Wine,0
1999,Americas,Venezuela (Bolivarian Republic of),Spirits,1.65
1996,Americas,Grenada,Beer,1.36
1993,Eastern Mediterranean,Iran (Islamic Republic of),Other alcoholic beverages,0
1994,Western Pacific,Mongolia,Wine,0
1987,Western Pacific,Malaysia,Wine,0.03
1990,Africa,Zambia,Other alcoholic beverages,1.99
1994,South-East Asia,India,Beer,0.02
1995,Africa,Mauritania,Other alcoholic beverages,0
1990,Western Pacific,China,Spirits,2.94
1986,Africa,Eritrea,Other alcoholic beverages,0.22
1990,Americas,Grenada,Wine,0.18
1990,Europe,Italy,All types,10.99
1991,Europe,Slovenia,All types,13.18
1996,Africa,Namibia,Wine,0
1989,Africa,Togo,Other alcoholic beverages,0.02
1992,Africa,Mali,Beer,0.02
1993,Africa,Sao Tome and Principe,All types,5.3
1987,Americas,Nicaragua,Spirits,2.75
1988,Europe,Belgium,All types,12.52
1989,Europe,Slovenia,Spirits,2.69
1983,Europe,Turkey,Beer,0.56
1984,Americas,Dominican Republic,Spirits,2.53
1990,Western Pacific,Philippines,Spirits,3.13
1997,Africa,Malawi,Wine,0.01
1998,Africa,United Republic of Tanzania,All types,5.67
1981,Americas,Suriname,Other alcoholic beverages,0
1993,Europe,San Marino,Wine,
1994,South-East Asia,Indonesia,Wine,0
1993,Western Pacific,New Zealand,Wine,2.35
1991,Africa,Niger,Beer,0.07
1991,Eastern Mediterranean,United Arab Emirates,Spirits,3.15
1988,Americas,Peru,Wine,0.11
1992,Eastern Mediterranean,Libya,Wine,0
1982,Europe,Romania,All types,10.28
1982,Western Pacific,Republic of Korea,All types,13.7
1983,Europe,Russian Federation,Beer,1.56
1981,Africa,United Republic of Tanzania,Wine,0
1983,Eastern Mediterranean,Afghanistan,Other alcoholic beverages,0
1992,Americas,Dominican Republic,Beer,2.16
1984,Europe,Belgium,All types,13.26
1996,Western Pacific,Philippines,All types,3.85
1982,Europe,Sweden,All types,7.29
1991,Europe,Kazakhstan,Other alcoholic beverages,0
1997,Africa,Benin,All types,1.18
1994,Eastern Mediterranean,Libya,Spirits,0
1983,Africa,Kenya,Spirits,1.04
1983,Europe,Romania,Wine,4.14
1999,Western Pacific,Micronesia (Federated States of),Beer,3.54
1991,Europe,Georgia,Wine,3.17
1998,Europe,Iceland,All types,5.47
1993,Africa,Angola,Beer,0.55
1983,Africa,Cabo Verde,Beer,0.6
1986,Eastern Mediterranean,Morocco,Other alcoholic beverages,0
1988,Europe,Spain,All types,13.52
1996,Americas,Antigua and Barbuda,Spirits,3.98
1981,Europe,Slovakia,All types,15.02
1984,South-East Asia,Democratic People's Republic of Korea,All types,3.33
1984,Europe,Germany,Wine,3.7
1998,Africa,Congo,All types,1.88
1980,Eastern Mediterranean,Iraq,All types,0.73
1985,Americas,Argentina,All types,12.75
1996,Americas,Panama,Beer,3.39
1984,Europe,Greece,Wine,6.16
1986,Western Pacific,Republic of Korea,Spirits,1.96
1980,Africa,Lesotho,All types,3.41
1991,Africa,Gambia,Other alcoholic beverages,1.38
1989,Eastern Mediterranean,Saudi Arabia,Beer,0.15
1991,Western Pacific,Philippines,Other alcoholic beverages,0.03
1988,Americas,Guatemala,All types,3.04
1986,Africa,Equatorial Guinea,Wine,1.3
1998,South-East Asia,Myanmar,Beer,0.03
1996,Africa,Central African Republic,Wine,0.03
1994,Europe,Denmark,Other alcoholic beverages,
1984,Western Pacific,Micronesia (Federated States of),Beer,0
1984,Africa,Gabon,Other alcoholic beverages,
1991,Europe,Ukraine,Wine,0.83
1995,Americas,Argentina,Beer,2.29
1985,Americas,Colombia,Beer,4.12
1983,Africa,Central African Republic,Beer,1
1988,Europe,Germany,Spirits,2.49
1988,Americas,Saint Kitts and Nevis,Spirits,1.74
1997,Eastern Mediterranean,Tunisia,Wine,0.44
1993,Europe,Bulgaria,Other alcoholic beverages,0
1999,Europe,Turkmenistan,Wine,1.52
1989,Europe,Finland,Spirits,1.8
1995,Africa,United Republic of Tanzania,All types,5.53
1982,Americas,Cuba,Wine,0.06
1980,Europe,Romania,All types,10.91
1992,Eastern Mediterranean,Yemen,Other alcoholic beverages,0
1992,Eastern Mediterranean,Kuwait,Wine,0
1982,Europe,Turkey,Beer,0.53
1999,Europe,Israel,Other alcoholic beverages,0.04
1985,South-East Asia,Thailand,Beer,0.14
1988,Americas,United States of America,Wine,1.36
1984,Americas,Uruguay,Spirits,1.92
1992,Western Pacific,Kiribati,All types,0.58
1998,Americas,Dominican Republic,Other alcoholic beverages,0.01
1981,Western Pacific,Brunei Darussalam,Spirits,0.58
1994,Americas,Jamaica,All types,2.98
1997,Europe,Kazakhstan,Spirits,2.7
1991,Americas,Uruguay,Wine,3.76
1992,Western Pacific,Vanuatu,Other alcoholic beverages,0
1989,Europe,Portugal,Spirits,0.92
1982,Eastern Mediterranean,Morocco,Wine,0.25
1991,Eastern Mediterranean,Syrian Arab Republic,Wine,0.57
1983,Europe,Ireland,Spirits,2
1990,Eastern Mediterranean,Iran (Islamic Republic of),Wine,0
1997,Europe,Cyprus,Other alcoholic beverages,0
1997,Africa,Namibia,Spirits,0.63
1980,Africa,Uganda,Beer,0.08
1987,Africa,Chad,Other alcoholic beverages,0
1997,Western Pacific,Malaysia,Other alcoholic beverages,0
1997,Europe,Albania,All types,2.22
1986,Americas,Dominican Republic,Other alcoholic beverages,0
1998,Western Pacific,Australia,Spirits,1.77
1980,Eastern Mediterranean,Kuwait,Other alcoholic beverages,
1991,Western Pacific,Cook Islands,Spirits,1.57
1993,Africa,Mozambique,All types,0.48
1986,Americas,Bolivia (Plurinational State of),Wine,0.09
1983,Africa,Swaziland,Wine,0.72
1983,Africa,Guinea-Bissau,Spirits,0.79
1996,Western Pacific,Micronesia (Federated States of),Wine,0
1994,Africa,United Republic of Tanzania,Other alcoholic beverages,5.16
1997,Americas,Canada,Spirits,1.9
1993,Africa,Benin,Other alcoholic beverages,0
1994,Americas,Saint Lucia,Spirits,6.74
1981,Europe,Belarus,Beer,
1993,Africa,United Republic of Tanzania,All types,5.57
1995,Africa,Seychelles,Beer,3.21
1995,Europe,Belgium,All types,11.04
1983,Americas,Argentina,Spirits,1.45
1984,Europe,Austria,Other alcoholic beverages,
1981,Europe,Ukraine,Beer,1.72
1999,Americas,El Salvador,All types,3.18
1982,Americas,Canada,Beer,5.12
1989,Americas,Chile,Wine,4.43
1980,Eastern Mediterranean,Bahrain,Spirits,2.67
1994,Europe,Czech Republic,All types,13.82
1999,Eastern Mediterranean,Pakistan,All types,0.02
1981,Americas,Cuba,All types,2.96
1991,Europe,Israel,Wine,0.41
1983,Africa,Niger,Wine,0.04
1998,Eastern Mediterranean,Kuwait,Wine,0
1984,Europe,Poland,All types,8.31
1988,Europe,Portugal,Beer,4.01
1981,Africa,Togo,Spirits,2.27
1986,Africa,Angola,Beer,0.9
1987,Europe,Luxembourg,All types,15.23
1991,Europe,Belarus,Other alcoholic beverages,0
1998,Europe,Turkmenistan,Wine,1.36
1997,Eastern Mediterranean,Bahrain,Other alcoholic beverages,0
1995,Eastern Mediterranean,Yemen,Other alcoholic beverages,0
1982,South-East Asia,Thailand,Beer,0.18
1985,Western Pacific,New Zealand,Beer,7.58
1987,Americas,Costa Rica,Wine,0.08
1998,Eastern Mediterranean,Afghanistan,Wine,0
1986,South-East Asia,Bangladesh,Wine,0
1989,Eastern Mediterranean,Egypt,Wine,0.01
1999,Africa,Madagascar,Beer,0.35
1988,Western Pacific,Micronesia (Federated States of),Beer,0
1988,Europe,Belarus,Spirits,2.9
1993,Europe,Greece,Wine,4.71
1981,Africa,Sao Tome and Principe,All types,1.34
1994,Americas,Grenada,Other alcoholic beverages,0.01
1997,Americas,Guatemala,All types,1.95
1997,Africa,Benin,Wine,0.1
1995,Europe,Ireland,Spirits,2.12
1999,South-East Asia,Indonesia,Other alcoholic beverages,0
1993,Europe,Poland,Wine,1.08
1982,Africa,Madagascar,Beer,0.16
1999,Africa,Comoros,Spirits,0.02
1983,Americas,Ecuador,Other alcoholic beverages,0
1989,Africa,Guinea-Bissau,Wine,0.42
1996,Africa,Botswana,Wine,0.19
1997,Africa,Mali,Beer,0
1981,Europe,Belgium,Wine,2.87
1992,Western Pacific,Brunei Darussalam,All types,
1983,Africa,Rwanda,All types,7.74
1985,Europe,Bulgaria,Other alcoholic beverages,0
1994,Africa,Côte d'Ivoire,Wine,0.22
1988,Eastern Mediterranean,Yemen,Wine,0
1985,Western Pacific,Vanuatu,Other alcoholic beverages,
1994,Europe,Belgium,All types,11.12
1984,Eastern Mediterranean,Somalia,Beer,0.01
1999,Africa,Ethiopia,Other alcoholic beverages,0.29
1992,Africa,Comoros,Spirits,0.01
1984,Americas,Paraguay,All types,7.03
1993,Americas,Mexico,Beer,3.99
1996,Western Pacific,Malaysia,Other alcoholic beverages,0
1984,Africa,Liberia,Wine,0.02
1999,Eastern Mediterranean,Kuwait,Beer,0
1990,Western Pacific,Niue,Other alcoholic beverages,0
1983,Americas,Mexico,All types,4.33
1991,Americas,Honduras,Other alcoholic beverages,
1993,Europe,Kyrgyzstan,All types,2
1996,Western Pacific,Kiribati,Other alcoholic beverages,0
1981,Africa,Comoros,Spirits,0.06
1982,Africa,Guinea-Bissau,Spirits,0.96
1983,South-East Asia,Myanmar,Beer,0.01
1991,Africa,Central African Republic,Beer,0.68
1990,Americas,Peru,Wine,0.09
1986,Americas,Mexico,All types,4.43
1986,Americas,Bolivia (Plurinational State of),Spirits,2.06
1980,Eastern Mediterranean,Lebanon,Beer,0.47
1998,Africa,Senegal,Beer,0.27
1985,Eastern Mediterranean,Jordan,Wine,0.01
1982,Western Pacific,Japan,Wine,0.09
1992,Africa,Zimbabwe,Spirits,1.63
1990,Americas,Canada,Other alcoholic beverages,
1994,Europe,Greece,All types,10.43
1982,Americas,Bolivia (Plurinational State of),Other alcoholic beverages,0
1997,Europe,San Marino,Wine,
1998,Africa,Togo,Wine,0.11
1997,Western Pacific,New Zealand,Wine,2.44
1980,Europe,Malta,All types,5.38
1995,Europe,Turkmenistan,Other alcoholic beverages,0
1989,Americas,Cuba,Other alcoholic beverages,
1986,Europe,Denmark,All types,12.26
1988,South-East Asia,India,Beer,0.01
1985,Western Pacific,Philippines,All types,4.58
1988,Western Pacific,Japan,Beer,2.84
1991,Europe,United Kingdom of Great Britain and Northern Ireland,Wine,1.81
1987,Africa,Namibia,Beer,0
1997,Americas,El Salvador,Beer,1.21
1987,Africa,Togo,Wine,0.13
1981,South-East Asia,Indonesia,Beer,0.04
1998,Americas,Bolivia (Plurinational State of),Spirits,1.43
1990,Africa,Seychelles,Beer,2.89
1991,Africa,Botswana,Spirits,0.84
1985,South-East Asia,India,Spirits,1.24
1989,Western Pacific,Singapore,Beer,0.97
1980,Eastern Mediterranean,Saudi Arabia,Beer,0.22
1987,Europe,Italy,Spirits,1.47
1988,Africa,Nigeria,Other alcoholic beverages,5.67
1995,Eastern Mediterranean,Saudi Arabia,Wine,0
1988,Americas,Guatemala,Other alcoholic beverages,0
1981,Eastern Mediterranean,Saudi Arabia,Other alcoholic beverages,0
1989,Africa,Comoros,Other alcoholic beverages,
1986,Africa,Cameroon,Beer,2.45
1986,Africa,Algeria,Spirits,0.01
1981,Africa,Ethiopia,Other alcoholic beverages,0.14
1987,Africa,South Africa,Other alcoholic beverages,1.69
1980,Africa,Cabo Verde,Other alcoholic beverages,
1993,Americas,Haiti,Other alcoholic beverages,0
1992,Europe,Bulgaria,Spirits,3.51
1980,Western Pacific,Mongolia,Spirits,3.17
1994,Africa,Lesotho,All types,2.47
1989,Eastern Mediterranean,Bahrain,Beer,1.11
1989,Europe,Ireland,Spirits,2.36
1982,Europe,Germany,Wine,3.62
1986,Western Pacific,Lao People's Democratic Republic,Other alcoholic beverages,
1994,Africa,Sierra Leone,Other alcoholic beverages,4.07
1986,Europe,Czech Republic,Wine,1.76
1989,Western Pacific,Mongolia,All types,2.59
1987,Europe,Czech Republic,Beer,6.93
1983,Europe,Romania,Other alcoholic beverages,
1997,Africa,Burundi,Spirits,0.01
1983,Americas,Peru,Other alcoholic beverages,0
1995,Eastern Mediterranean,Kuwait,All types,0
1986,Africa,Comoros,Other alcoholic beverages,
1983,Eastern Mediterranean,Iran (Islamic Republic of),Wine,0
1994,Africa,Chad,Beer,0.16
1992,Europe,Luxembourg,Wine,5.95
1988,Africa,Cabo Verde,Spirits,0.43
1982,Western Pacific,Micronesia (Federated States of),Beer,0
1989,Eastern Mediterranean,Morocco,Other alcoholic beverages,0
1983,Africa,Gabon,Other alcoholic beverages,
1984,Europe,Latvia,All types,12.35
1982,Africa,Cameroon,Beer,2.28
1988,Europe,Romania,All types,10.4
1980,Africa,Congo,Other alcoholic beverages,1.75
1992,Africa,Benin,Other alcoholic beverages,0
1997,Eastern Mediterranean,Somalia,Wine,0
1982,Africa,Malawi,Other alcoholic beverages,1.14
1996,Eastern Mediterranean,Morocco,Spirits,0.03
1986,South-East Asia,Bhutan,Beer,0.46
1997,Africa,Uganda,Spirits,0.21
1999,Eastern Mediterranean,Djibouti,Spirits,0.67
1993,Americas,Panama,Beer,3.54
1980,Western Pacific,Papua New Guinea,Spirits,0.16
1999,Africa,Gabon,Beer,5.89
1997,Americas,Chile,Wine,2.02
1999,Europe,Netherlands,Spirits,2.06
1998,Western Pacific,Philippines,Spirits,2.93
1995,Western Pacific,Republic of Korea,Other alcoholic beverages,2.76
1995,Africa,Democratic Republic of the Congo,Other alcoholic beverages,1.73
1994,Europe,France,All types,14.11
1997,Americas,Peru,Other alcoholic beverages,0
1982,Africa,Gambia,Beer,0.05
1989,Europe,Cyprus,Beer,3.62
1988,Europe,Latvia,All types,6.27
1998,Americas,Venezuela (Bolivarian Republic of),Beer,5.94
1996,Western Pacific,Viet Nam,Beer,0.6
1985,South-East Asia,Bangladesh,Beer,0
1993,Western Pacific,Viet Nam,Spirits,0.02
1998,Western Pacific,Malaysia,Beer,0.85
1990,Africa,Mozambique,All types,0.52
1982,Africa,Guinea,Wine,0.01
1997,Africa,Malawi,All types,1.26
1990,Western Pacific,Papua New Guinea,Wine,0.02
1987,Africa,Gambia,Spirits,0.04
1997,Africa,Guinea-Bissau,Spirits,0.68
1999,Africa,Mozambique,Beer,0.32
1990,Western Pacific,Republic of Korea,Wine,0.01
1993,Western Pacific,Philippines,Other alcoholic beverages,0.03
1986,Africa,Cameroon,Wine,0.08
1980,Africa,Comoros,Spirits,0
1983,Western Pacific,Lao People's Democratic Republic,Beer,0
1993,Africa,Zambia,Beer,0.89
1998,Africa,Botswana,All types,3.45
1997,Americas,Jamaica,Other alcoholic beverages,0
1985,Europe,Slovenia,All types,15.07
1997,Americas,Bahamas,Beer,0.99
1993,Europe,Austria,Other alcoholic beverages,
1984,Africa,Ethiopia,Spirits,0
1994,Europe,Ireland,All types,12.05
1995,Western Pacific,Philippines,All types,3.87
1991,Europe,Spain,Wine,5.07
1997,Eastern Mediterranean,Sudan,Other alcoholic beverages,1.75
1983,Eastern Mediterranean,Libya,Spirits,0
1993,Eastern Mediterranean,Djibouti,Spirits,0.1
1998,Europe,Sweden,Wine,1.98
1980,Africa,Chad,Spirits,0
1994,Africa,Comoros,Beer,0.01
1997,Europe,Czech Republic,Wine,2.13
1991,Africa,Ghana,Spirits,0.02
1988,Eastern Mediterranean,Egypt,All types,0.41
1994,Europe,Poland,All types,8.31
1992,Europe,Austria,Wine,4.6
1990,Africa,Gabon,Wine,2.05
1983,Eastern Mediterranean,United Arab Emirates,Other alcoholic beverages,0
1998,Eastern Mediterranean,Lebanon,All types,1.59
1993,South-East Asia,Myanmar,Spirits,0.19
1987,Africa,Nigeria,Beer,1.49
1993,Europe,Israel,Spirits,0.71
1982,Africa,Mauritania,Spirits,0.01
1987,Eastern Mediterranean,Afghanistan,Beer,0
1992,Europe,Germany,Wine,3.03
1987,Europe,Iceland,Other alcoholic beverages,0.01
1996,Europe,Norway,Beer,2.88
1996,Africa,Liberia,Wine,0
1996,Europe,Malta,Beer,2.92
1988,Americas,Trinidad and Tobago,Wine,0.09
1991,Western Pacific,Cook Islands,Wine,0.61
1980,Americas,Dominican Republic,Wine,0.03
1987,Africa,Gambia,Beer,0.07
1999,Africa,Central African Republic,Spirits,0.03
1984,Eastern Mediterranean,Iraq,Wine,0.01
1995,Europe,Sweden,Spirits,1.64
1983,Africa,Guinea,Wine,0.01
1985,Americas,Dominican Republic,All types,3.52
1994,Africa,Madagascar,Wine,0.1
1996,Africa,Nigeria,All types,9.36
1998,Africa,South Africa,Spirits,1.54
1997,Africa,Rwanda,Other alcoholic beverages,5.55
1988,Africa,Senegal,All types,0.56
1982,Eastern Mediterranean,Libya,Beer,0
1994,Eastern Mediterranean,Somalia,Other alcoholic beverages,0
1990,Europe,Georgia,Other alcoholic beverages,
1999,Western Pacific,Tonga,Beer,0.18
1998,Americas,Saint Lucia,All types,10.85
1988,Europe,Slovakia,All types,12.77
1997,Europe,Poland,Spirits,3.56
1995,Americas,Dominica,Beer,2.46
1999,Africa,Burundi,Other alcoholic beverages,6.82
1997,Africa,Mozambique,All types,0.62
1992,Eastern Mediterranean,Libya,Other alcoholic beverages,0
1985,Europe,Sweden,Wine,1.55
1996,Western Pacific,Mongolia,Beer,0.13
1985,Africa,Swaziland,All types,9.69
1996,Europe,Slovakia,Wine,1.95
1992,South-East Asia,Democratic People's Republic of Korea,Spirits,3.39
1996,South-East Asia,Indonesia,Other alcoholic beverages,0
1995,Western Pacific,Papua New Guinea,Spirits,1.08
1991,Western Pacific,Vanuatu,Spirits,0.65
1993,Americas,Barbados,All types,7.51
1989,Europe,Netherlands,Beer,5.23
1981,Africa,Niger,Spirits,0.04
1992,Africa,Equatorial Guinea,Other alcoholic beverages,
1987,Eastern Mediterranean,Morocco,All types,0.77
1998,Africa,Madagascar,Other alcoholic beverages,
1985,Europe,Italy,Spirits,1.62
1997,Europe,Greece,Wine,4.56
1988,Africa,Malawi,All types,1.1
1985,Americas,Chile,Other alcoholic beverages,0
1997,Western Pacific,Republic of Korea,Spirits,2.64
1988,Eastern Mediterranean,Syrian Arab Republic,All types,0.84
1982,Europe,Slovenia,All types,19.5
1994,Western Pacific,Tonga,Other alcoholic beverages,0
1984,Africa,Seychelles,Wine,0.28
1993,Europe,Turkmenistan,Beer,0.04
1987,Western Pacific,China,Other alcoholic beverages,0
1993,Africa,Guinea,All types,0.4
1987,Africa,Gabon,Beer,7.17
1996,Americas,Dominican Republic,Other alcoholic beverages,0.01
1992,Eastern Mediterranean,Saudi Arabia,Spirits,0
1982,Eastern Mediterranean,Afghanistan,All types,0
1989,Africa,Ethiopia,All types,0.86
1994,Eastern Mediterranean,Afghanistan,Spirits,0
1985,Eastern Mediterranean,Iran (Islamic Republic of),Spirits,0
1993,South-East Asia,Thailand,Beer,0.5
1986,Americas,Saint Lucia,All types,9.66
1998,Europe,Tajikistan,Spirits,0.19
1994,South-East Asia,Bhutan,Spirits,0
1983,Americas,Bolivia (Plurinational State of),Beer,0.94
1988,Americas,Saint Lucia,Beer,2.37
1981,Europe,Spain,Other alcoholic beverages,0
1983,Americas,Paraguay,Spirits,4.44
1999,Americas,Dominica,Other alcoholic beverages,0.16
1987,Americas,Dominican Republic,Wine,0.03
1984,Eastern Mediterranean,Syrian Arab Republic,Wine,0.64
1991,Europe,Finland,Spirits,1.52
1980,South-East Asia,India,All types,1.06
1989,Africa,Congo,Other alcoholic beverages,1.11
1996,Africa,Congo,Spirits,0.29
1985,Africa,Benin,All types,1.23
1989,Americas,Trinidad and Tobago,Other alcoholic beverages,0.01
1995,Africa,Zambia,All types,3.3
1996,Europe,Ukraine,All types,3.26
1995,Europe,Azerbaijan,Beer,0.1
1995,Americas,Bahamas,Beer,1.45
1997,Europe,Ireland,Wine,1.2
1987,Africa,South Africa,All types,8.97
1989,Africa,Gabon,Spirits,0.42
1988,Americas,Cuba,Beer,1.89
1986,Europe,Hungary,Beer,6.37
1998,Americas,Bolivia (Plurinational State of),Other alcoholic beverages,0
1992,Eastern Mediterranean,Morocco,Wine,0.27
1981,Eastern Mediterranean,Iraq,Wine,0.01
1998,Africa,Ghana,Other alcoholic beverages,1.3
1984,Africa,Namibia,Wine,0
1993,Europe,Spain,Other alcoholic beverages,0
1985,Africa,Nigeria,Wine,0
1984,Americas,Belize,Spirits,4.38
1995,Africa,Niger,Wine,0.01
1995,Americas,Costa Rica,Beer,0.94
1996,Americas,Guatemala,All types,2.19
1999,Eastern Mediterranean,Qatar,Wine,0
1994,Europe,Latvia,Wine,1.64
1992,Africa,Algeria,All types,0.2
1980,Africa,Lesotho,Spirits,0.18
1994,Western Pacific,Marshall Islands,All types,
1993,Africa,Uganda,Beer,0.11
1989,Africa,Burundi,Other alcoholic beverages,5.3
1989,Africa,Ethiopia,Spirits,0.09
1984,Europe,Norway,Spirits,1.62
1998,Western Pacific,Tuvalu,Wine,0.11
1986,Africa,Zambia,Other alcoholic beverages,2.07
1980,Europe,Belarus,Wine,
1996,Americas,Paraguay,All types,11.05
1994,Africa,Chad,Other alcoholic beverages,0
1990,Americas,Mexico,Wine,0.04
1992,Europe,Cyprus,Beer,4.03
1994,Africa,Guinea-Bissau,All types,3
1993,Eastern Mediterranean,Kuwait,Wine,0
1996,Africa,Lesotho,Other alcoholic beverages,0.77
1984,Americas,Cuba,All types,3.75
1980,Europe,Spain,All types,17.69
1987,Africa,Lesotho,Beer,0.75
1998,Africa,Rwanda,Wine,0.01
1998,Americas,Grenada,All types,5.56
1992,Africa,Sao Tome and Principe,Beer,0.1
1991,Africa,Niger,Spirits,0.01
1987,Americas,Panama,Wine,0.11
1996,Americas,Ecuador,Wine,0.13
1999,Americas,Haiti,Spirits,5.68
1980,Eastern Mediterranean,Libya,Spirits,0
1980,Europe,Hungary,Beer,5.51
1985,South-East Asia,India,All types,1.26
1998,Europe,Portugal,Spirits,0.71
1984,South-East Asia,Nepal,Other alcoholic beverages,0
1998,Eastern Mediterranean,Djibouti,Wine,0.07
1980,Europe,Italy,Beer,1.07
1997,Africa,Togo,Spirits,0.44
1988,Africa,Eritrea,All types,0.42
1992,Africa,Nigeria,Beer,0.72
1980,Eastern Mediterranean,Syrian Arab Republic,Wine,0.76
1983,Western Pacific,New Zealand,Beer,7.88
1987,Eastern Mediterranean,Syrian Arab Republic,Wine,0.6
1999,South-East Asia,Sri Lanka,Spirits,0.15
1988,Western Pacific,New Zealand,Spirits,1.6
1996,Americas,Brazil,All types,5.95
1986,Americas,Cuba,All types,4.04
1981,Eastern Mediterranean,Kuwait,Wine,0
1981,Western Pacific,Malaysia,Beer,0.58
1999,Africa,Benin,All types,1.16
1998,Eastern Mediterranean,Iran (Islamic Republic of),Wine,0
1998,Europe,Kazakhstan,Beer,0.42
1997,Western Pacific,Viet Nam,All types,0.62
1983,Americas,Belize,Wine,0.14
1991,Africa,Ghana,Wine,0
1999,Europe,Republic of Moldova,Beer,0.31
1993,Americas,Brazil,Wine,0.3
1989,Americas,Peru,Spirits,2.99
1991,Western Pacific,Fiji,Beer,2.03
1985,Eastern Mediterranean,Syrian Arab Republic,Other alcoholic beverages,0
1997,Europe,Russian Federation,Other alcoholic beverages,0
1995,Western Pacific,New Zealand,All types,10.15
1996,South-East Asia,Myanmar,Wine,0
1985,Western Pacific,Viet Nam,Spirits,0.05
1998,Americas,Barbados,Spirits,3.25
1996,Western Pacific,Papua New Guinea,Other alcoholic beverages,0
1995,Africa,Burundi,Beer,2.1
